city,state,2020 census,2020 land area,location,lat,long
Macon[w],Georgia,157346,645.9 km2,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W,32.8,-83.68333333333334
Lakewood,Colorado,155984,112.7 km2,39°41′N 105°07′W﻿ / ﻿39.69°N 105.11°W,39.68333333333333,-105.11666666666666
Killeen,Texas,153095,141.9 km2,31°04′N 97°44′W﻿ / ﻿31.07°N 97.73°W,31.066666666666663,-97.73333333333332
Springfield,Massachusetts,155929,82.6 km2,42°07′N 72°32′W﻿ / ﻿42.11°N 72.54°W,42.11666666666667,-72.53333333333333
Alexandria[m],Virginia,159467,38.6 km2,38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W,38.81666666666667,-77.08333333333333
Kansas City[x],Kansas,156607,323.0 km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W,39.11666666666667,-94.73333333333332
Sunnyvale,California,155805,57.2 km2,37°23′N 122°01′W﻿ / ﻿37.38°N 122.02°W,37.38333333333333,-122.01666666666668
Hollywood,Florida,153067,70.7 km2,26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W,26.03333333333333,-80.16666666666667
Roseville,California,147773,114.2 km2,38°46′N 121°19′W﻿ / ﻿38.76°N 121.31°W,38.766666666666666,-121.31666666666666
Charleston,South Carolina,150227,297.3 km2,32°49′N 79°57′W﻿ / ﻿32.81°N 79.95°W,32.81666666666667,-79.95
Escondido,California,151038,96.6 km2,33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W,33.13333333333333,-117.06666666666666
Joliet,Illinois,150362,167.1 km2,41°31′N 88°08′W﻿ / ﻿41.51°N 88.14°W,41.516666666666666,-88.13333333333334
Jackson,Mississippi,153701,289.3 km2,32°19′N 90°13′W﻿ / ﻿32.31°N 90.21°W,32.31666666666667,-90.21666666666668
Bellevue,Washington,151854,86.8 km2,47°35′N 122°09′W﻿ / ﻿47.59°N 122.15°W,47.583333333333336,-122.15
Surprise,Arizona,143148,285.7 km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W,33.666666666666664,-112.45
Naperville,Illinois,149540,101.3 km2,41°44′N 88°10′W﻿ / ﻿41.74°N 88.16°W,41.73333333333333,-88.16666666666667
Pasadena,Texas,151950,113.2 km2,29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W,29.65,-95.15
Pomona,California,151713,59.6 km2,34°03′N 117°46′W﻿ / ﻿34.05°N 117.76°W,34.05,-117.76666666666668
Bridgeport,Connecticut,148654,41.7 km2,41°11′N 73°11′W﻿ / ﻿41.18°N 73.19°W,41.18333333333333,-73.18333333333334
Denton,Texas,139869,249.7 km2,33°13′N 97°08′W﻿ / ﻿33.21°N 97.14°W,33.21666666666667,-97.13333333333334
Rockford,Illinois,148655,167.1 km2,42°15′N 89°04′W﻿ / ﻿42.25°N 89.06°W,42.25,-89.06666666666666
Mesquite,Texas,150108,125.6 km2,32°46′N 96°35′W﻿ / ﻿32.76°N 96.58°W,32.766666666666666,-96.58333333333331
Savannah,Georgia,147780,276.6 km2,32°00′N 81°09′W﻿ / ﻿32.00°N 81.15°W,32.0,-81.15
Syracuse,New York,148620,65.0 km2,43°02′N 76°08′W﻿ / ﻿43.04°N 76.14°W,43.03333333333333,-76.13333333333334
McAllen,Texas,142210,161.4 km2,26°14′N 98°14′W﻿ / ﻿26.23°N 98.24°W,26.23333333333333,-98.23333333333332
Torrance,California,147067,53.1 km2,33°50′N 118°20′W﻿ / ﻿33.83°N 118.34°W,33.833333333333336,-118.33333333333331
Olathe,Kansas,141290,160.3 km2,38°53′N 94°49′W﻿ / ﻿38.88°N 94.81°W,38.88333333333333,-94.81666666666666
Visalia,California,141384,98.2 km2,36°19′N 119°19′W﻿ / ﻿36.32°N 119.32°W,36.31666666666667,-119.31666666666666
Thornton,Colorado,141867,93.0 km2,39°55′N 104°56′W﻿ / ﻿39.91°N 104.94°W,39.91666666666666,-104.93333333333334
Fullerton,California,143617,58.0 km2,33°53′N 117°55′W﻿ / ﻿33.88°N 117.92°W,33.88333333333333,-117.91666666666669
Gainesville,Florida,141085,163.7 km2,29°40′N 82°20′W﻿ / ﻿29.67°N 82.34°W,29.666666666666668,-82.33333333333333
Waco,Texas,138486,229.7 km2,31°34′N 97°11′W﻿ / ﻿31.56°N 97.18°W,31.566666666666663,-97.18333333333334
West Valley City,Utah,140230,92.7 km2,40°41′N 112°01′W﻿ / ﻿40.68°N 112.01°W,40.68333333333333,-112.01666666666668
Warren,Michigan,139387,89.1 km2,42°29′N 83°01′W﻿ / ﻿42.49°N 83.02°W,42.48333333333333,-83.01666666666667
Lakewood,New Jersey,135158,64.0 km2,40°05′N 74°13′W﻿ / ﻿40.08°N 74.21°W,40.083333333333336,-74.21666666666667
Hampton[m],Virginia,137148,133.4 km2,37°02′N 76°17′W﻿ / ﻿37.04°N 76.29°W,37.03333333333333,-76.28333333333333
Dayton,Ohio,137644,144.5 km2,39°46′N 84°11′W﻿ / ﻿39.77°N 84.19°W,39.766666666666666,-84.18333333333334
Columbia,South Carolina,136632,354.3 km2,34°01′N 80°53′W﻿ / ﻿34.02°N 80.89°W,34.016666666666666,-80.88333333333334
Orange,California,139911,66.6 km2,33°47′N 117°52′W﻿ / ﻿33.78°N 117.86°W,33.78333333333333,-117.86666666666666
Cedar Rapids,Iowa,137710,186.7 km2,41°58′N 91°40′W﻿ / ﻿41.96°N 91.67°W,41.96666666666667,-91.66666666666669
Stamford,Connecticut,135470,97.4 km2,41°04′N 73°32′W﻿ / ﻿41.07°N 73.54°W,41.06666666666667,-73.53333333333333
Victorville,California,134810,190.9 km2,34°31′N 117°21′W﻿ / ﻿34.52°N 117.35°W,34.516666666666666,-117.35
Pasadena,California,138699,59.6 km2,34°10′N 118°08′W﻿ / ﻿34.16°N 118.13°W,34.166666666666664,-118.13333333333334
Elizabeth,New Jersey,137298,31.9 km2,40°40′N 74°11′W﻿ / ﻿40.66°N 74.19°W,40.66666666666666,-74.18333333333334
New Haven,Connecticut,134023,48.4 km2,41°19′N 72°55′W﻿ / ﻿41.31°N 72.92°W,41.31666666666667,-72.91666666666667
Miramar,Florida,134721,74.9 km2,25°58′N 80°20′W﻿ / ﻿25.97°N 80.33°W,25.966666666666665,-80.33333333333333
Kent,Washington,136588,87.5 km2,47°23′N 122°13′W﻿ / ﻿47.38°N 122.21°W,47.38333333333333,-122.21666666666668
Sterling Heights,Michigan,134346,94.3 km2,42°35′N 83°02′W﻿ / ﻿42.58°N 83.03°W,42.583333333333336,-83.03333333333333
Carrollton,Texas,133434,95.1 km2,32°59′N 96°53′W﻿ / ﻿32.98°N 96.89°W,32.983333333333334,-96.88333333333334
Coral Springs,Florida,134394,59.3 km2,26°16′N 80°15′W﻿ / ﻿26.27°N 80.25°W,26.266666666666666,-80.25
Midland,Texas,132524,195.5 km2,32°01′N 102°07′W﻿ / ﻿32.02°N 102.11°W,32.016666666666666,-102.11666666666666
Norman,Oklahoma,128026,463.1 km2,35°14′N 97°20′W﻿ / ﻿35.24°N 97.34°W,35.233333333333334,-97.33333333333331
Athens[y],Georgia,127315,301.2 km2,33°56′N 83°22′W﻿ / ﻿33.94°N 83.37°W,33.93333333333333,-83.36666666666666
Santa Clara,California,127647,47.4 km2,37°22′N 121°58′W﻿ / ﻿37.36°N 121.96°W,37.36666666666667,-121.96666666666668
Columbia,Missouri,126254,172.2 km2,38°57′N 92°19′W﻿ / ﻿38.95°N 92.32°W,38.95,-92.31666666666666
Fargo,North Dakota,125990,129.0 km2,46°52′N 96°49′W﻿ / ﻿46.86°N 96.82°W,46.86666666666667,-96.81666666666666
Pearland,Texas,125828,126.1 km2,29°33′N 95°19′W﻿ / ﻿29.55°N 95.32°W,29.55,-95.31666666666666
Simi Valley,California,126356,107.5 km2,34°16′N 118°44′W﻿ / ﻿34.26°N 118.74°W,34.266666666666666,-118.73333333333332
Meridian,Idaho,117635,90.9 km2,43°37′N 116°23′W﻿ / ﻿43.61°N 116.39°W,43.61666666666667,-116.38333333333334
Topeka,Kansas,126587,159.0 km2,39°02′N 95°41′W﻿ / ﻿39.03°N 95.69°W,39.03333333333333,-95.68333333333334
Allentown,Pennsylvania,125845,45.6 km2,40°35′N 75°28′W﻿ / ﻿40.59°N 75.47°W,40.583333333333336,-75.46666666666667
Thousand Oaks,California,126966,143.2 km2,34°11′N 118°52′W﻿ / ﻿34.19°N 118.87°W,34.18333333333333,-118.86666666666666
Abilene,Texas,125182,276.4 km2,32°27′N 99°44′W﻿ / ﻿32.45°N 99.73°W,32.45,-99.73333333333332
Vallejo,California,126090,78.7 km2,38°06′N 122°16′W﻿ / ﻿38.10°N 122.26°W,38.1,-122.26666666666668
Concord,California,125410,79.3 km2,37°58′N 122°00′W﻿ / ﻿37.97°N 122.00°W,37.96666666666667,-122.0
Round Rock,Texas,119468,97.4 km2,30°31′N 97°40′W﻿ / ﻿30.52°N 97.66°W,30.516666666666666,-97.66666666666669
Arvada,Colorado,124402,100.8 km2,39°50′N 105°09′W﻿ / ﻿39.83°N 105.15°W,39.833333333333336,-105.15
Clovis,California,120124,65.8 km2,36°49′N 119°41′W﻿ / ﻿36.82°N 119.68°W,36.81666666666667,-119.68333333333334
Palm Bay,Florida,119760,223.8 km2,27°59′N 80°40′W﻿ / ﻿27.98°N 80.66°W,27.98333333333333,-80.66666666666667
Independence,Missouri,123011,202.0 km2,39°05′N 94°21′W﻿ / ﻿39.08°N 94.35°W,39.083333333333336,-94.35
Lafayette[z],Louisiana,121374,144.5 km2,30°12′N 92°01′W﻿ / ﻿30.20°N 92.02°W,30.2,-92.01666666666668
Ann Arbor,Michigan,123851,73.0 km2,42°16′N 83°44′W﻿ / ﻿42.27°N 83.73°W,42.266666666666666,-83.73333333333333
Rochester,Minnesota,121395,143.7 km2,44°01′N 92°28′W﻿ / ﻿44.01°N 92.47°W,44.016666666666666,-92.46666666666668
Hartford,Connecticut,121054,45.1 km2,41°46′N 72°41′W﻿ / ﻿41.76°N 72.68°W,41.766666666666666,-72.68333333333334
College Station,Texas,120511,132.6 km2,30°35′N 96°17′W﻿ / ﻿30.58°N 96.29°W,30.58333333333333,-96.28333333333332
Fairfield,California,119881,107.7 km2,38°15′N 122°02′W﻿ / ﻿38.25°N 122.03°W,38.25,-122.03333333333332
Wilmington,North Carolina,115451,133.1 km2,34°12′N 77°53′W﻿ / ﻿34.20°N 77.88°W,34.2,-77.88333333333334
North Charleston,South Carolina,114852,201.0 km2,32°55′N 80°04′W﻿ / ﻿32.91°N 80.06°W,32.916666666666664,-80.06666666666666
Billings,Montana,117116,116.0 km2,45°47′N 108°32′W﻿ / ﻿45.78°N 108.54°W,45.78333333333333,-108.53333333333332
West Palm Beach,Florida,117415,139.3 km2,26°44′N 80°07′W﻿ / ﻿26.74°N 80.12°W,26.73333333333333,-80.11666666666666
Berkeley,California,124321,26.9 km2,37°52′N 122°17′W﻿ / ﻿37.86°N 122.29°W,37.86666666666667,-122.28333333333332
Cambridge,Massachusetts,118403,16.6 km2,42°22′N 71°07′W﻿ / ﻿42.37°N 71.11°W,42.36666666666667,-71.11666666666666
Clearwater,Florida,117292,67.6 km2,27°58′N 82°46′W﻿ / ﻿27.97°N 82.76°W,27.966666666666665,-82.76666666666667
West Jordan,Utah,116961,83.7 km2,40°36′N 112°00′W﻿ / ﻿40.60°N 112.00°W,40.6,-112.0
Evansville,Indiana,117298,122.8 km2,37°59′N 87°32′W﻿ / ﻿37.98°N 87.53°W,37.98333333333333,-87.53333333333333
Richardson,Texas,119469,74.1 km2,32°58′N 96°42′W﻿ / ﻿32.97°N 96.70°W,32.96666666666667,-96.7
Broken Arrow,Oklahoma,113540,163.2 km2,36°02′N 95°47′W﻿ / ﻿36.03°N 95.78°W,36.03333333333333,-95.78333333333332
Richmond,California,116448,78.0 km2,37°57′N 122°22′W﻿ / ﻿37.95°N 122.36°W,37.95,-122.36666666666666
League City,Texas,114392,132.9 km2,29°29′N 95°06′W﻿ / ﻿29.49°N 95.10°W,29.48333333333333,-95.1
Manchester,New Hampshire,115644,85.7 km2,42°59′N 71°26′W﻿ / ﻿42.98°N 71.44°W,42.98333333333333,-71.43333333333334
Lakeland,Florida,112641,171.5 km2,28°03′N 81°57′W﻿ / ﻿28.05°N 81.95°W,28.05,-81.95
Carlsbad,California,114746,97.9 km2,33°07′N 117°17′W﻿ / ﻿33.12°N 117.28°W,33.11666666666667,-117.28333333333332
Antioch,California,115291,75.6 km2,37°58′N 121°47′W﻿ / ﻿37.97°N 121.79°W,37.96666666666667,-121.78333333333332
Westminster,Colorado,116317,81.8 km2,39°53′N 105°04′W﻿ / ﻿39.88°N 105.06°W,39.88333333333333,-105.06666666666666
High Point,North Carolina,114059,146.1 km2,35°59′N 79°59′W﻿ / ﻿35.99°N 79.99°W,35.983333333333334,-79.98333333333333
Provo,Utah,115162,108.0 km2,40°14′N 111°38′W﻿ / ﻿40.24°N 111.64°W,40.23333333333333,-111.63333333333334
Lowell,Massachusetts,115554,35.2 km2,42°38′N 71°19′W﻿ / ﻿42.63°N 71.32°W,42.63333333333333,-71.31666666666666
Elgin,Illinois,114797,98.4 km2,42°02′N 88°19′W﻿ / ﻿42.03°N 88.32°W,42.03333333333333,-88.31666666666666
Waterbury,Connecticut,114403,73.8 km2,41°33′N 73°02′W﻿ / ﻿41.55°N 73.03°W,41.55,-73.03333333333333
Springfield,Illinois,114394,158.2 km2,39°47′N 89°38′W﻿ / ﻿39.79°N 89.64°W,39.78333333333333,-89.63333333333334
Gresham,Oregon,114247,60.9 km2,45°30′N 122°26′W﻿ / ﻿45.50°N 122.44°W,45.5,-122.43333333333334
Murrieta,California,110949,87.0 km2,33°34′N 117°11′W﻿ / ﻿33.57°N 117.19°W,33.56666666666667,-117.18333333333334
Lewisville,Texas,111822,95.8 km2,33°02′N 96°59′W﻿ / ﻿33.04°N 96.98°W,33.03333333333333,-96.98333333333332
Las Cruces,New Mexico,111385,199.2 km2,32°19′N 106°47′W﻿ / ﻿32.32°N 106.78°W,32.31666666666667,-106.78333333333332
Lansing,Michigan,112644,101.3 km2,42°43′N 84°33′W﻿ / ﻿42.71°N 84.55°W,42.71666666666667,-84.55
Beaumont,Texas,115282,213.7 km2,30°05′N 94°08′W﻿ / ﻿30.08°N 94.14°W,30.08333333333333,-94.13333333333334
Odessa,Texas,114428,132.3 km2,31°53′N 102°20′W﻿ / ﻿31.88°N 102.34°W,31.883333333333333,-102.33333333333331
Pueblo,Colorado,111876,143.5 km2,38°16′N 104°37′W﻿ / ﻿38.26°N 104.61°W,38.266666666666666,-104.61666666666666
Peoria,Illinois,113150,124.3 km2,40°45′N 89°37′W﻿ / ﻿40.75°N 89.61°W,40.75,-89.61666666666666
Downey,California,114355,32.1 km2,33°56′N 118°08′W﻿ / ﻿33.93°N 118.13°W,33.93333333333333,-118.13333333333334
Pompano Beach,Florida,112046,62.2 km2,26°14′N 80°08′W﻿ / ﻿26.24°N 80.13°W,26.23333333333333,-80.13333333333334
Miami Gardens,Florida,111640,47.1 km2,25°56′N 80°14′W﻿ / ﻿25.94°N 80.24°W,25.933333333333334,-80.23333333333333
Temecula,California,110003,96.6 km2,33°29′N 117°08′W﻿ / ﻿33.49°N 117.13°W,33.483333333333334,-117.13333333333334
Everett,Washington,110629,86.0 km2,47°57′N 122°11′W﻿ / ﻿47.95°N 122.19°W,47.95,-122.18333333333334
Costa Mesa,California,111918,40.9 km2,33°40′N 117°55′W﻿ / ﻿33.66°N 117.91°W,33.666666666666664,-117.91666666666669
Ventura[aa],California,110763,56.7 km2,34°16′N 119°15′W﻿ / ﻿34.26°N 119.25°W,34.266666666666666,-119.25
Sparks,Nevada,108445,94.3 km2,39°33′N 119°44′W﻿ / ﻿39.55°N 119.73°W,39.55,-119.73333333333332
Santa Maria,California,109707,59.1 km2,34°56′N 120°26′W﻿ / ﻿34.93°N 120.44°W,34.93333333333333,-120.43333333333334
Sugar Land,Texas,111026,104.9 km2,29°35′N 95°37′W﻿ / ﻿29.59°N 95.61°W,29.58333333333333,-95.61666666666666
Greeley,Colorado,108795,126.7 km2,40°25′N 104°46′W﻿ / ﻿40.41°N 104.76°W,40.41666666666666,-104.76666666666668
South Fulton,Georgia,107436,220.7 km2,33°35′N 84°40′W﻿ / ﻿33.59°N 84.67°W,33.583333333333336,-84.66666666666667
Dearborn,Michigan,109976,62.7 km2,42°19′N 83°13′W﻿ / ﻿42.31°N 83.21°W,42.31666666666667,-83.21666666666667
Concord,North Carolina,105240,164.5 km2,35°24′N 80°36′W﻿ / ﻿35.40°N 80.60°W,35.4,-80.6
Edison,New Jersey,107588,78.0 km2,40°31′N 74°25′W﻿ / ﻿40.52°N 74.41°W,40.516666666666666,-74.41666666666667
Tyler,Texas,105995,148.9 km2,32°19′N 95°18′W﻿ / ﻿32.31°N 95.30°W,32.31666666666667,-95.3
Sandy Springs,Georgia,108080,97.6 km2,33°56′N 84°22′W﻿ / ﻿33.93°N 84.36°W,33.93333333333333,-84.36666666666666
West Covina,California,109501,41.4 km2,34°03′N 117°54′W﻿ / ﻿34.05°N 117.90°W,34.05,-117.9
Green Bay,Wisconsin,107395,117.8 km2,44°31′N 87°59′W﻿ / ﻿44.52°N 87.98°W,44.516666666666666,-87.98333333333333
Centennial,Colorado,108418,76.9 km2,39°35′N 104°52′W﻿ / ﻿39.59°N 104.86°W,39.583333333333336,-104.86666666666666
Jurupa Valley,California,105053,111.1 km2,34°00′N 117°28′W﻿ / ﻿34.00°N 117.46°W,34.0,-117.46666666666668
El Monte,California,109450,24.9 km2,34°04′N 118°01′W﻿ / ﻿34.07°N 118.02°W,34.06666666666667,-118.01666666666668
Allen,Texas,104627,68.4 km2,33°05′N 96°40′W﻿ / ﻿33.09°N 96.66°W,33.083333333333336,-96.66666666666669
Hillsboro,Oregon,106447,66.6 km2,45°31′N 122°56′W﻿ / ﻿45.52°N 122.93°W,45.516666666666666,-122.93333333333334
Menifee,California,102527,120.4 km2,33°41′N 117°11′W﻿ / ﻿33.69°N 117.19°W,33.68333333333333,-117.18333333333334
Nampa,Idaho,100200,86.8 km2,43°34′N 116°34′W﻿ / ﻿43.57°N 116.56°W,43.56666666666667,-116.56666666666666
Spokane Valley,Washington,102976,97.6 km2,47°40′N 117°14′W﻿ / ﻿47.67°N 117.23°W,47.66666666666666,-117.23333333333332
Rio Rancho,New Mexico,104046,267.8 km2,35°17′N 106°40′W﻿ / ﻿35.29°N 106.67°W,35.28333333333333,-106.66666666666669
Brockton,Massachusetts,105643,55.2 km2,42°05′N 71°01′W﻿ / ﻿42.08°N 71.02°W,42.083333333333336,-71.01666666666667
El Cajon,California,106215,37.6 km2,32°48′N 116°58′W﻿ / ﻿32.80°N 116.96°W,32.8,-116.96666666666668
Burbank,California,107337,44.8 km2,34°11′N 118°19′W﻿ / ﻿34.19°N 118.32°W,34.18333333333333,-118.31666666666666
Inglewood,California,107762,23.6 km2,33°57′N 118°20′W﻿ / ﻿33.95°N 118.34°W,33.95,-118.33333333333331
Renton,Washington,106785,60.9 km2,47°28′N 122°11′W﻿ / ﻿47.47°N 122.19°W,47.46666666666667,-122.18333333333334
Davie,Florida,105691,90.4 km2,26°04′N 80°17′W﻿ / ﻿26.07°N 80.28°W,26.066666666666663,-80.28333333333333
Rialto,California,104026,62.4 km2,34°07′N 117°23′W﻿ / ﻿34.11°N 117.38°W,34.11666666666667,-117.38333333333334
Boulder,Colorado,108250,68.1 km2,40°01′N 105°15′W﻿ / ﻿40.02°N 105.25°W,40.016666666666666,-105.25
South Bend,Indiana,103453,108.8 km2,41°40′N 86°16′W﻿ / ﻿41.67°N 86.26°W,41.66666666666666,-86.26666666666667
Woodbridge,New Jersey,103639,60.3 km2,40°34′N 74°17′W﻿ / ﻿40.56°N 74.28°W,40.56666666666667,-74.28333333333333
Vacaville,California,102386,77.4 km2,38°21′N 121°58′W﻿ / ﻿38.35°N 121.97°W,38.35,-121.96666666666668
Wichita Falls,Texas,102316,186.5 km2,33°54′N 98°31′W﻿ / ﻿33.90°N 98.52°W,33.9,-98.51666666666668
Lee's Summit,Missouri,101108,165.5 km2,38°55′N 94°22′W﻿ / ﻿38.92°N 94.37°W,38.91666666666666,-94.36666666666666
Edinburg,Texas,100243,115.8 km2,26°18′N 98°10′W﻿ / ﻿26.30°N 98.16°W,26.3,-98.16666666666669
Chico,California,101475,88.3 km2,39°44′N 121°50′W﻿ / ﻿39.74°N 121.83°W,39.73333333333333,-121.83333333333331
San Mateo,California,105661,31.3 km2,37°34′N 122°19′W﻿ / ﻿37.56°N 122.31°W,37.56666666666667,-122.31666666666666
Bend,Oregon,99178,87.0 km2,44°18′N 121°11′W﻿ / ﻿44.30°N 121.18°W,44.3,-121.18333333333334
Goodyear,Arizona,95294,495.5 km2,33°27′N 112°22′W﻿ / ﻿33.45°N 112.36°W,33.45,-112.36666666666666
Buckeye,Arizona,91502,"1,017.9 km2",33°22′N 112°35′W﻿ / ﻿33.37°N 112.59°W,33.36666666666667,-112.58333333333331
Daly City,California,104901,19.7 km2,37°42′N 122°28′W﻿ / ﻿37.70°N 122.46°W,37.7,-122.46666666666668
Fishers,Indiana,98977,92.2 km2,39°58′N 86°01′W﻿ / ﻿39.96°N 86.01°W,39.96666666666667,-86.01666666666667
Quincy,Massachusetts,101636,43.0 km2,42°15′N 71°00′W﻿ / ﻿42.25°N 71.00°W,42.25,-71.0
Davenport,Iowa,101724,165.2 km2,41°33′N 90°36′W﻿ / ﻿41.55°N 90.60°W,41.55,-90.6
Hesperia,California,99818,188.3 km2,34°25′N 117°19′W﻿ / ﻿34.41°N 117.31°W,34.416666666666664,-117.31666666666666
New Bedford,Massachusetts,101079,51.8 km2,41°38′N 70°56′W﻿ / ﻿41.64°N 70.93°W,41.63333333333333,-70.93333333333334
Lynn,Massachusetts,101253,27.7 km2,42°28′N 70°57′W﻿ / ﻿42.47°N 70.95°W,42.46666666666667,-70.95
Carmel,Indiana,99757,127.2 km2,39°35′N 86°36′W﻿ / ﻿39.58°N 86.60°W,39.583333333333336,-86.6
Longmont,Colorado,98885,74.6 km2,40°10′N 105°07′W﻿ / ﻿40.17°N 105.11°W,40.16666666666666,-105.11666666666666
Tuscaloosa,Alabama,99600,160.3 km2,33°13′N 87°32′W﻿ / ﻿33.21°N 87.53°W,33.21666666666667,-87.53333333333333
Norwalk,California,102773,25.1 km2,33°54′N 118°05′W﻿ / ﻿33.90°N 118.08°W,33.9,-118.08333333333331
